# E(THz)     0.002     0.004     0.006     0.008     0.010     0.012     0.014     0.016     0.018     0.020
  2.1608  -0.58175  -0.27773  -0.14938  -0.10212  -0.08140  -0.06995  -0.06274  -0.05805  -0.05507  -0.05330
  2.2111  -0.58685  -0.28017  -0.15070  -0.10302  -0.08212  -0.07057  -0.06330  -0.05857  -0.05557  -0.05378
  2.2613   1.75954   0.84001   0.45178   0.30880   0.24612   0.21148   0.18963   0.17543   0.16639   0.16100
  2.3116   7.56447   3.61126   1.94210   1.32735   1.05781   0.90880   0.81477   0.75360   0.71462   0.69140
  2.3618  12.83262   6.12595   3.29342   2.25003   1.79235   1.53895   1.37861   1.27396   1.20705   1.16704
  2.4121  11.79636   5.63029   3.02354   2.06275   1.64069   1.40575   1.25568   1.15666   1.09265   1.05389
  2.4623   5.68530   2.71244   1.45277   0.98785   0.78292   0.66742   0.59208   0.54117   0.50749   0.48657
  2.5126   0.72015   0.34703   0.19787   0.14479   0.12355   0.11600   0.11586   0.11935   0.12389   0.12823
  2.5628  -0.71673  -0.32454  -0.11327  -0.02534   0.02433   0.07463   0.13155   0.18814   0.23683   0.27475
  2.6131  -0.46246  -0.18790   0.01322   0.10618   0.16766   0.24426   0.33956   0.43805   0.52437   0.59241
  2.6633  -0.13646  -0.03235   0.09659   0.16291   0.21266   0.28267   0.37369   0.46930   0.55373   0.62060
  2.7136  -0.02418   0.00593   0.06393   0.09533   0.12011   0.15647   0.20437   0.25493   0.29967   0.33516
  2.7638  -0.00277   0.00182   0.01188   0.01739   0.02179   0.02828   0.03687   0.04593   0.05396   0.06033
  2.8141  -0.00021  -0.00189  -0.00723  -0.01022  -0.01266  -0.01633  -0.02119  -0.02634  -0.03090  -0.03453
  2.8643  -0.00001  -0.00139  -0.00555  -0.00787  -0.00977  -0.01260  -0.01637  -0.02035  -0.02387  -0.02667
  2.9146  -0.00000  -0.00044  -0.00178  -0.00252  -0.00313  -0.00404  -0.00524  -0.00652  -0.00765  -0.00854
  2.9648  -0.00000  -0.00008  -0.00034  -0.00048  -0.00059  -0.00076  -0.00099  -0.00123  -0.00145  -0.00161
  3.0151  -0.00000  -0.00001  -0.00004  -0.00006  -0.00007  -0.00009  -0.00012  -0.00015  -0.00018  -0.00020
  3.0653  -0.00000  -0.00000  -0.00000  -0.00000  -0.00001  -0.00001  -0.00001  -0.00001  -0.00001  -0.00002
  3.1156  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000
  3.1658  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000
